protein1 protein2 combined_score
0 5 1
0 93 1
0 50 1
0 4 1
0 7 1
0 49 1
0 85 1
0 29 1
0 6 1
0 42 1
0 9 1
0 74 1
0 51 1
0 87 1
0 31 1
0 8 1
0 96 1
0 86 1
0 99 1
0 76 1
0 53 1
0 43 1
0 23 1
0 45 1
0 22 1
0 35 1
0 12 1
0 90 1
0 44 1
0 57 1
0 34 1
0 24 1
0 79 1
0 69 1
0 59 1
0 13 1
0 3 1
0 91 1
0 58 1
1 34 1
1 70 1
1 47 1
1 24 1
1 37 1
1 4 1
1 69 1
1 59 1
1 49 1
1 16 1
1 6 1
1 81 1
1 94 1
1 71 1
1 84 1
1 38 1
1 5 1
1 18 1
1 96 1
1 73 1
1 63 1
1 40 1
1 17 1
1 30 1
1 95 1
1 72 1
1 65 1
1 9 1
1 97 1
1 74 1
1 87 1
1 41 1
1 11 1
1 99 1
1 53 1
1 43 1
1 23 1
1 88 1
1 45 1
1 22 1
1 12 1
1 2 1
2 7 1
2 72 1
2 62 1
2 52 1
2 29 1
2 6 1
2 42 1
2 74 1
2 51 1
2 87 1
2 54 1
2 8 1
2 21 1
2 86 1
2 63 1
2 99 1
2 76 1
2 56 1
2 33 1
2 10 1
2 88 1
2 78 1
2 55 1
2 22 1
2 90 1
2 67 1
2 44 1
2 47 1
2 37 1
2 79 1
2 46 1
2 82 1
2 36 1
2 13 1
2 26 1
2 3 1
2 91 1
2 81 1
2 48 1
2 60 1
3 93 1
3 70 1
3 85 1
3 42 1
3 19 1
3 74 1
3 51 1
3 8 1
3 21 1
3 11 1
3 96 1
3 99 1
3 76 1
3 43 1
3 20 1
3 33 1
3 10 1
3 88 1
3 12 1
3 90 1
3 57 1
3 47 1
3 24 1
3 37 1
3 91 1
3 94 1
3 71 1
3 61 1
4 63 1
4 99 1
4 53 1
4 66 1
4 43 1
4 33 1
4 10 1
4 42 1
4 78 1
4 55 1
4 35 1
4 80 1
4 11 1
4 79 1
4 92 1
4 36 1
4 26 1
4 16 1
4 91 1
4 68 1
4 81 1
4 71 1
4 61 1
4 38 1
4 83 1
4 73 1
4 50 1
4 27 1
4 17 1
4 7 1
4 62 1
