protein1 protein2 combined_score
0 70 1
0 191 1
0 83 1
0 17 1
0 140 1
0 76 1
0 131 1
0 144 1
0 78 1
0 120 1
0 67 1
0 188 1
0 80 1
0 1 1
0 135 1
0 3 1
0 192 1
0 115 1
0 7 1
0 62 1
0 130 1
0 64 1
0 185 1
0 119 1
0 174 1
0 187 1
0 121 1
0 189 1
0 110 1
0 178 1
0 46 1
0 48 1
0 50 1
0 105 1
0 52 1
0 94 1
0 107 1
0 41 1
0 162 1
0 175 1
0 96 1
0 153 1
0 166 1
0 100 1
0 113 1
0 155 1
0 102 1
0 36 1
0 146 1
0 93 1
0 27 1
0 148 1
0 40 1
0 161 1
0 150 1
0 42 1
0 163 1
0 152 1
0 141 1
0 33 1
0 75 1
0 198 1
0 145 1
0 92 1
0 26 1
0 147 1
0 28 1
1 188 1
1 14 1
1 148 1
1 69 1
1 124 1
1 71 1
1 84 1
1 5 1
1 126 1
1 139 1
1 20 1
1 62 1
1 183 1
1 196 1
1 117 1
1 9 1
1 132 1
1 66 1
1 187 1
1 121 1
1 13 1
1 134 1
1 176 1
1 189 1
1 2 1
1 123 1
1 57 1
1 178 1
1 70 1
1 4 1
1 59 1
1 193 1
1 48 1
1 61 1
1 182 1
1 171 1
1 63 1
1 65 1
1 175 1
1 109 1
1 122 1
1 164 1
1 56 1
1 177 1
1 111 1
1 34 1
1 168 1
1 115 1
1 104 1
1 159 1
1 106 1
1 95 1
1 108 1
1 29 1
1 165 1
1 167 1
1 22 1
1 156 1
1 103 1
1 79 1
1 26 1
1 147 1
1 81 1
1 149 1
1 96 1
1 17 1
1 138 1
1 30 1
1 151 1
1 72 1
1 19 1
1 32 1
1 8 1
1 21 1
1 76 1
1 197 1
1 89 1
1 91 1
2 184 1
2 105 1
2 160 1
2 173 1
2 120 1
2 43 1
2 177 1
2 113 1
2 155 1
2 168 1
2 89 1
2 36 1
2 170 1
2 91 1
2 25 1
2 38 1
2 159 1
2 93 1
2 106 1
2 40 1
2 42 1
2 163 1
2 152 1
2 86 1
2 33 1
2 154 1
2 101 1
2 77 1
2 198 1
2 90 1
2 145 1
2 37 1
2 13 1
2 136 1
2 70 1
2 83 1
2 17 1
2 138 1
2 30 1
2 72 1
2 193 1
2 85 1
2 140 1
2 87 1
2 197 1
2 131 1
2 23 1
2 65 1
2 199 1
2 67 1
2 188 1
2 80 1
2 14 1
2 69 1
2 82 1
2 5 1
2 139 1
2 181 1
2 73 1
2 194 1
2 115 1
2 7 1
2 128 1
2 183 1
2 196 1
2 117 1
2 51 1
2 66 1
2 187 1
2 108 1
2 121 1
2 110 1
2 57 1
2 191 1
2 46 1
2 180 1
2 114 1
2 127 1
2 169 1
3 5 1
3 18 1
3 7 1
3 128 1
3 75 1
3 196 1
3 9 1
3 198 1
3 119 1
3 11 1
3 187 1
3 176 1
3 189 1
3 123 1
3 178 1
3 191 1
3 125 1
3 114 1
3 61 1
3 103 1
3 116 1
3 184 1
3 160 1
3 52 1
3 173 1
3 164 1
3 98 1
3 111 1
3 45 1
3 155 1
3 47 1
3 168 1
3 49 1
3 170 1
3 104 1
3 38 1
3 40 1
3 108 1
3 163 1
3 84 1
3 97 1
3 31 1
3 44 1
3 165 1
3 20 1
3 35 1
3 90 1
3 24 1
3 158 1
3 147 1
3 70 1
3 138 1
3 193 1
3 19 1
3 129 1
3 89 1
3 10 1
3 131 1
3 65 1
3 12 1
3 80 1
3 122 1
3 69 1
3 71 1
4 96 1
4 109 1
4 111 1
4 32 1
4 153 1
4 100 1
4 47 1
4 89 1
4 23 1
4 36 1
4 104 1
4 146 1
4 38 1
4 159 1
4 106 1
4 161 1
4 150 1
4 97 1
4 139 1
4 31 1
4 20 1
4 33 1
4 154 1
4 75 1
4 143 1
4 35 1
4 77 1
4 90 1
4 26 1
4 68 1
4 81 1
4 15 1
4 136 1
4 83 1
4 72 1
4 193 1
4 127 1
4 19 1
4 74 1
4 195 1
4 63 1
4 184 1
4 76 1
4 144 1
4 65 1
4 186 1
4 120 1
4 133 1
4 122 1
4 14 1
4 177 1
4 124 1
4 179 1
4 192 1
4 126 1
4 128 1
4 196 1
4 51 1
4 119 1
4 174 1
4 66 1
4 42 1
4 55 1
4 189 1
4 110 1
4 123 1
4 165 1
4 46 1
4 180 1
4 114 1
4 169 1
4 103 1
4 50 1
4 105 1
4 160 1
4 52 1
4 173 1
4 107 1
4 54 1
4 175 1
5 27 1
5 40 1
5 95 1
5 108 1
5 29 1
5 150 1
5 42 1
5 97 1
5 31 1
5 152 1
5 86 1
5 99 1
5 20 1
5 33 1
5 154 1
5 88 1
5 101 1
5 143 1
5 156 1
5 103 1
5 145 1
5 37 1
5 158 1
5 79 1
5 92 1
5 15 1
5 136 1
5 28 1
5 83 1
5 96 1
5 138 1
5 30 1
5 153 1
5 74 1
5 195 1
5 87 1
5 8 1
5 142 1
5 89 1
5 10 1
5 65 1
5 133 1
5 135 1
5 69 1
5 124 1
5 71 1
5 192 1
5 84 1
5 126 1
5 18 1
5 139 1
5 60 1
5 181 1
5 73 1
5 194 1
5 62 1
5 183 1
5 9 1
5 64 1
5 185 1
5 132 1
5 53 1
5 66 1
5 121 1
5 55 1
5 68 1
5 189 1
5 110 1
5 123 1
5 178 1
5 193 1
5 114 1
5 6 1
5 127 1
5 169 1
5 182 1
5 116 1
5 129 1
5 171 1
5 105 1
5 118 1
